"","id","host_id.x","neighbourhood_cleansed.x","room_type.x","price.x","number_of_reviews.x","last_review.x","reviews_per_month.x","host_id.y","neighbourhood_cleansed.y","room_type.y","price.y","number_of_reviews.y","last_review.y","reviews_per_month.y"
"14124",31607933,236941574,"Centrum-West","Entire home/apt",231,7,2019-04-22,0.33,236941574,"Centrum-West","Entire home/apt",231,7,2019-04-22,0.32
"14125",31608976,19274420,"Bos en Lommer","Entire home/apt",185,17,2020-03-08,0.77,19274420,"Bos en Lommer","Entire home/apt",85,17,2020-03-08,0.74
"14126",31612423,236981851,"Noord-West","Entire home/apt",80,13,2019-12-04,0.58,236981851,"Noord-West","Entire home/apt",80,13,2019-12-04,0.56
"14127",31612935,65859990,"Noord-Oost","Entire home/apt",302,3,2019-04-28,0.14,65859990,"Noord-Oost","Entire home/apt",235,3,2019-04-28,0.13
"14128",31616271,5348518,"Slotervaart","Private room",120,20,2020-03-09,0.89,5348518,"Slotervaart","Private room",120,20,2020-03-09,0.85
"14129",31619907,237046264,"IJburg - Zeeburgereiland","Private room",98,35,2020-03-08,1.57,237046264,"IJburg - Zeeburgereiland","Private room",105,35,2020-03-08,1.5
"14130",31619952,65859990,"Noord-Oost","Entire home/apt",291,1,2019-04-23,0.05,65859990,"Noord-Oost","Entire home/apt",234,1,2019-04-23,0.05
"14131",31629421,24294513,"Oud-Noord","Entire home/apt",495,7,2020-02-23,0.31,24294513,"Oud-Noord","Entire home/apt",495,7,2020-02-23,0.29
"14132",31632004,15596641,"Oud-Noord","Entire home/apt",215,9,2019-10-21,0.45,15596641,"Oud-Noord","Entire home/apt",260,9,2019-10-21,0.43
"14133",31660162,237377748,"Bos en Lommer","Entire home/apt",160,10,2019-08-04,0.44,237377748,"Bos en Lommer","Entire home/apt",160,10,2019-08-04,0.42
"14134",31666030,39113987,"De Baarsjes - Oud-West","Entire home/apt",148,6,2019-03-17,0.27,39113987,"De Baarsjes - Oud-West","Entire home/apt",148,6,2019-03-17,0.26
"14135",31679343,6192863,"IJburg - Zeeburgereiland","Entire home/apt",220,6,2019-04-30,0.29,6192863,"IJburg - Zeeburgereiland","Entire home/apt",220,6,2019-04-30,0.28
"14136",31690199,45579885,"De Pijp - Rivierenbuurt","Entire home/apt",225,7,2020-08-09,0.32,45579885,"De Pijp - Rivierenbuurt","Entire home/apt",225,7,2020-08-09,0.31
"14137",31701569,141349719,"Watergraafsmeer","Private room",150,51,2020-03-08,2.35,141349719,"Watergraafsmeer","Private room",150,51,2020-03-08,2.25
"14138",31704986,69801691,"De Pijp - Rivierenbuurt","Entire home/apt",190,0,NA,NA,69801691,"De Pijp - Rivierenbuurt","Entire home/apt",190,0,NA,NA
"14139",31707026,24927522,"De Pijp - Rivierenbuurt","Entire home/apt",118,2,2020-08-14,0.1,24927522,"De Pijp - Rivierenbuurt","Entire home/apt",248,2,2020-08-14,0.09
"14140",31709131,12961955,"Centrum-West","Private room",181,21,2020-08-28,0.93,12961955,"Centrum-West","Private room",197,21,2020-08-28,0.89
"14141",31709186,534213,"De Pijp - Rivierenbuurt","Entire home/apt",140,13,2020-10-06,0.58,534213,"De Pijp - Rivierenbuurt","Entire home/apt",140,13,2020-10-06,0.55
"14142",31711303,5156039,"Zuid","Entire home/apt",120,8,2019-09-29,0.36,5156039,"Zuid","Entire home/apt",120,8,2019-09-29,0.35
"14143",31731136,237857503,"Centrum-West","Entire home/apt",78,106,2020-10-26,4.68,237857503,"Centrum-West","Entire home/apt",78,108,2020-12-22,4.58
"14144",31734215,57234499,"Buitenveldert - Zuidas","Entire home/apt",150,2,2019-02-10,0.09,57234499,"Buitenveldert - Zuidas","Entire home/apt",150,2,2019-02-10,0.08
"14145",31736186,124167474,"Bos en Lommer","Entire home/apt",160,16,2020-03-15,0.99,124167474,"Bos en Lommer","Entire home/apt",160,16,2020-03-15,0.94
"14146",31742073,20814012,"De Pijp - Rivierenbuurt","Entire home/apt",260,0,NA,NA,20814012,"De Pijp - Rivierenbuurt","Entire home/apt",260,0,NA,NA
"14147",31742264,1907015,"De Pijp - Rivierenbuurt","Entire home/apt",443,4,2019-07-29,0.21,1907015,"De Pijp - Rivierenbuurt","Entire home/apt",447,4,2019-07-29,0.2
"14148",31743332,238091679,"De Baarsjes - Oud-West","Entire home/apt",350,5,2020-01-03,0.24,238091679,"De Baarsjes - Oud-West","Entire home/apt",350,5,2020-01-03,0.23
"14149",31758630,238122037,"Centrum-West","Hotel room",76,21,2020-11-10,1.18,238122037,"Centrum-West","Hotel room",175,24,2020-12-13,1.28
"14150",31772492,9482781,"De Baarsjes - Oud-West","Entire home/apt",250,0,NA,NA,9482781,"De Baarsjes - Oud-West","Entire home/apt",250,0,NA,NA
"14151",31775140,238214831,"De Pijp - Rivierenbuurt","Entire home/apt",250,0,NA,NA,238214831,"De Pijp - Rivierenbuurt","Entire home/apt",250,0,NA,NA
"14152",31794999,21686664,"Oostelijk Havengebied - Indische Buurt","Entire home/apt",60,3,2019-09-21,0.13,21686664,"Oostelijk Havengebied - Indische Buurt","Entire home/apt",60,3,2019-09-21,0.13
"14153",31817580,238451893,"Oud-Oost","Entire home/apt",125,2,2020-03-08,0.15,238451893,"Oud-Oost","Entire home/apt",125,2,2020-03-08,0.14
"14154",31820294,156790830,"Centrum-West","Private room",100,13,2020-08-21,0.62,156790830,"Centrum-West","Private room",264,13,2020-08-21,0.59
"14155",31820630,6605281,"De Baarsjes - Oud-West","Entire home/apt",150,0,NA,NA,6605281,"De Baarsjes - Oud-West","Entire home/apt",150,0,NA,NA
"14156",31828801,23839335,"Oud-Oost","Private room",120,0,NA,NA,23839335,"Oud-Oost","Private room",120,0,NA,NA
"14157",31830179,18042380,"Oud-Oost","Entire home/apt",83,7,2020-01-01,0.31,18042380,"Oud-Oost","Entire home/apt",83,7,2020-01-01,0.3
"14158",31831416,2890590,"Centrum-West","Entire home/apt",200,9,2019-07-08,0.42,2890590,"Centrum-West","Entire home/apt",200,9,2019-07-08,0.41
"14159",31842051,5092262,"De Pijp - Rivierenbuurt","Entire home/apt",299,4,2019-12-29,0.2,5092262,"De Pijp - Rivierenbuurt","Entire home/apt",299,4,2019-12-29,0.19
"14160",31850064,124674839,"De Baarsjes - Oud-West","Entire home/apt",150,3,2019-12-13,0.16,124674839,"De Baarsjes - Oud-West","Entire home/apt",150,3,2019-12-13,0.15
"14161",31854606,8427549,"De Pijp - Rivierenbuurt","Entire home/apt",250,10,2020-03-16,0.46,8427549,"De Pijp - Rivierenbuurt","Entire home/apt",250,10,2020-03-16,0.44
"14162",31856901,16054546,"De Baarsjes - Oud-West","Entire home/apt",90,11,2020-06-26,0.54,16054546,"De Baarsjes - Oud-West","Entire home/apt",90,11,2020-06-26,0.51
"14163",31870080,139066154,"Centrum-West","Private room",104,47,2020-03-13,2.13,139066154,"Centrum-West","Private room",107,47,2020-03-13,2.04
"14164",31870480,158400239,"Centrum-West","Private room",82,72,2020-08-03,3.19,158400239,"Centrum-West","Private room",132,72,2020-08-03,3.06
"14165",31871461,15860061,"Centrum-West","Private room",114,38,2020-03-15,1.68,15860061,"Centrum-West","Private room",135,38,2020-03-15,1.61
"14166",31871891,238876749,"Osdorp","Private room",55,2,2019-02-28,0.09,238876749,"Osdorp","Private room",55,2,2019-02-28,0.09
"14167",31871902,238876991,"De Pijp - Rivierenbuurt","Entire home/apt",200,2,2019-02-25,0.09,238876991,"De Pijp - Rivierenbuurt","Entire home/apt",200,2,2019-02-25,0.09
